"FeatureId","SaveDomainId","PersistentExpectation","CoverageStatus","SchemaOwner","CurrentImplementation","EvidenceOrReason","UnloadedCellPolicy","ReplacementPolicy","OwningMilestone","Notes"
"P1.CAR.009","vehicle.satsuma","Persistent","Partial","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","M06 bounded FWD simulation prototype","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: M06 bounded FWD simulation prototype; prior save evidence: None.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.010","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.011","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.012","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.013","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.014","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.015","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.016","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","13B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.017","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","12A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.018","vehicle.satsuma","Persistent","Partial","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Native aggregate stores the body plus 125 loose parts, 117 mounts, 260 fasteners, FastenerGroup latches, installed hinge rotation and project-owned New Game paint type/state; chassis-first restore places the 389 kg/29-collider body before logical/physical ownership resumes","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Native aggregate stores the body plus 125 loose parts, 117 mounts, 260 fasteners, FastenerGroup latches, installed hinge rotation and project-owned New Game paint type/state; chassis-first restore places the 389 kg/29-collider body before logical/physical ownership resumes; prior save evidence: Native v16 vehicle.satsuma aggregate persists current assembly, physics and paint state; older bounded schemas migrate additively and unknown shapes fail closed.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.019","vehicle.satsuma","Persistent","Partial","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","V1d.48 sanitized wrapper has 8 renderers, all 29 donor solid colliders, 125 loose parts with 120 active, 117 mounts, 260 fasteners, 3 hinged mounts, 52 part-owned mounts and 46 mail-order mappings; project-owned paint state targets the reviewed body renderers/material profiles","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: V1d.48 sanitized wrapper has 8 renderers, all 29 donor solid colliders, 125 loose parts with 120 active, 117 mounts, 260 fasteners, 3 hinged mounts, 52 part-owned mounts and 46 mail-order mappings; project-owned paint state targets the reviewed body renderers/material profiles; prior save evidence: Presentation identity follows stable part/save state; project-owned paint payload restores selected type/state while legacy-absent payload retains authored defaults.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.CAR.020","vehicle.satsuma","Persistent","Planned","MSC.Vehicle.Assembly/Simulation + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.001","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Bounded M05/M06 prototype","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Bounded M05/M06 prototype; prior save evidence: None.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.002","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.003","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.004","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.005","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.006","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.007","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.008","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.009","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.010","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.011","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.012","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.013","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","13B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.014","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Three stable logical actors with bounded NWH physical wrappers and exact donor multiplicity","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Three stable logical actors with bounded NWH physical wrappers and exact donor multiplicity; prior save evidence: traffic.state schema 1 additive ambient array.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.015","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Two stable logical actors with bounded NWH physical wrappers and exact donor multiplicity","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Two stable logical actors with bounded NWH physical wrappers and exact donor multiplicity; prior save evidence: traffic.state schema 1 additive ambient array.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.016","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Stable logical actor with donor wheel hierarchy and bounded NWH physical wrapper","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Stable logical actor with donor wheel hierarchy and bounded NWH physical wrapper; prior save evidence: traffic.state schema 1 additive ambient array.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.017","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Stable logical actor with bounded NWH physical wrapper","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Stable logical actor with bounded NWH physical wrapper; prior save evidence: traffic.state schema 1 additive ambient array.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.018","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Stable logical actor with bounded NWH physical wrapper; TownLoop and GasPump excursions use separate nearest directed joins and return progress","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Stable logical actor with bounded NWH physical wrapper; TownLoop and GasPump excursions use separate nearest directed joins and return progress; prior save evidence: traffic.state schema 1 additive ambient array.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.019","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Stable logical actor with bounded NWH physical wrapper","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Stable logical actor with bounded NWH physical wrapper; prior save evidence: traffic.state schema 1 additive ambient array.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.020","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Stable deterministic 10 percent weekday / 40 percent weekend actor with retry-attempt state","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Stable deterministic 10 percent weekday / 40 percent weekend actor with retry-attempt state; prior save evidence: traffic.state schema 1 saves spawn, route and attempt count.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.021","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.022","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","11B-R4 exact Perajarvi formation and same-direction full Village/RoadRace/Highway return loop; dynamic Rigidbody/NWH wheel contact; project-owned powertrain and physical throttle/brake/steering; donor-range cruise, lane variation, pass/reverse/drift, typed crash/recovery, saved Suski switch and spatial telemetry-driven engine/music audio","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 11B-R4 exact Perajarvi formation and same-direction full Village/RoadRace/Highway return loop; dynamic Rigidbody/NWH wheel contact; project-owned powertrain and physical throttle/brake/steering; donor-range cruise, lane variation, pass/reverse/drift, typed crash/recovery, saved Suski switch and spatial telemetry-driven engine/music audio; prior save evidence: npc.state schema 2 in document v13 covers route state and Suski rescue flag; loaded route progress is projected from the physical chassis; transient physical/audio state survives wrapper streaming.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.023","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","11B-R4 exact rear-offset Perajarvi formation in Jani's direction and same full Village/RoadRace/Highway return loop; dynamic Rigidbody/NWH wheel contact; project-owned powertrain and physical controls; donor-range cruise, lane variation, pass/reverse/drift, typed crash/recovery and spatial telemetry-driven engine audio","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 11B-R4 exact rear-offset Perajarvi formation in Jani's direction and same full Village/RoadRace/Highway return loop; dynamic Rigidbody/NWH wheel contact; project-owned powertrain and physical controls; donor-range cruise, lane variation, pass/reverse/drift, typed crash/recovery and spatial telemetry-driven engine audio; prior save evidence: npc.state schema 2 in document v13 covers route state; loaded route progress is projected from the physical chassis; transient physical/audio state survives wrapper streaming.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.024","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","13B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.025","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","13C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.026","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","11B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.027","vehicles.instances","Persistent","Partial","MSC.Vehicle.Runtime (planned full roster)","Project-owned curved 37-point routes in both directions; audited M04A1 coordinate translation; stable Teimo schedule binding; terrain conformance; timed shop arrival and stable-ID parked bicycle/service door presentation","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned curved 37-point routes in both directions; audited M04A1 coordinate translation; stable Teimo schedule binding; terrain conformance; timed shop arrival and stable-ID parked bicycle/service door presentation; prior save evidence: npc.state persists active schedule, route, progress and once-per-day greeting eligibility; automated mid-route, arrival and streaming round trips pass.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.VEHICLE.028","vehicles.instances","Persistent","Planned","MSC.Vehicle.Runtime (planned full roster)","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","13B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.001","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Accepted 10B stable NPC is extended with a four-waypoint floor-level store-to-pub route and 57 game-second walking schedule block. Service feedback invokes explicit register/drink actions and paid meal choreography; middle-finger aim or an actual urine-particle collision latches anger until an action/state replacement.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Accepted 10B stable NPC is extended with a four-waypoint floor-level store-to-pub route and 57 game-second walking schedule block. Service feedback invokes explicit register/drink actions and paid meal choreography; middle-finger aim or an actual urine-particle collision latches anger until an action/state replacement.; prior save evidence: npc.state schema 2 persists schedule/route including the walking block; services.state persists paid handoffs; action/cooking coroutine progress is transient.","DeferredByStableId","StableIdPreserved","12A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.002","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Accepted 10B stable instance remains authoritative. 12A-S1 adds an audited brochure interaction that browses all 32 offers and toggles the save-backed workshop selection with exclusive-group enforcement.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Accepted 10B stable instance remains authoritative. 12A-S1 adds an audited brochure interaction that browses all 32 offers and toggles the save-backed workshop selection with exclusive-group enforcement.; prior save evidence: npc.state schema 2 persists NPC state; services.state schema 1 persists workshop selection.","DeferredByStableId","StableIdPreserved","12A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.003","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R2 stable identity and exact converted home anchor; hidden pending event authority","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R2 stable identity and exact converted home anchor; hidden pending event authority; prior save evidence: npc.state schema 2 in document v12; v11→v12 migration adds identity without resetting accepted rows.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.004","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R2 stable instance at exact converted home anchor with review availability baseline","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R2 stable instance at exact converted home anchor with review availability baseline; prior save evidence: npc.state schema 2 in document v12 covers streamed state and relationships.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.005","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","One 10B-R2 stable Jokke identity at exact converted buyer anchor with review availability baseline","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: One 10B-R2 stable Jokke identity at exact converted buyer anchor with review availability baseline; prior save evidence: npc.state schema 2 in document v12 preserves one identity across future variants.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.006","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","One stable identity now switches Passenger -> AwaitingPickup -> Transporting -> RestingAtParentsBed -> Rescued after Jani's >=5 m/s terminal crash; placement near stable parents-bed anchor plus a successful sleep completes the existing rescue flag","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: One stable identity now switches Passenger -> AwaitingPickup -> Transporting -> RestingAtParentsBed -> Rescued after Jani's >=5 m/s terminal crash; placement near stable parents-bed anchor plus a successful sleep completes the existing rescue flag; prior save evidence: npc.state v13 persists the accepted rescue flag; optional traffic.state schema 1 persists intermediate stage and pose across streaming/save.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.007","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R1 project-owned stable instance with exact farm root and six-target continuous loop; 06:00-20:00 schedule and job hook","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R1 project-owned stable instance with exact farm root and six-target continuous loop; 06:00-20:00 schedule and job hook; prior save evidence: npc.state schema 2 in document v9 covers streamed-out multi-waypoint route progress and dialogue cooldowns.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.008","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R1 project-owned stable instance at exact strawberry-field anchor; 06:00-12:00 schedule and job hook","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R1 project-owned stable instance at exact strawberry-field anchor; 06:00-12:00 schedule and job hook; prior save evidence: npc.state schema 2 in document v9 covers streamed-out schedule, flags, relationships and dialogue cooldowns.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.009","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Distinct 10B-R2 stable customer at exact converted home anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Distinct 10B-R2 stable customer at exact converted home anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and job flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.010","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Distinct 10B-R2 stable customer at exact converted home anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Distinct 10B-R2 stable customer at exact converted home anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and job flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.011","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Distinct 10B-R2 stable customer at exact converted home anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Distinct 10B-R2 stable customer at exact converted home anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and job flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.012","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Distinct 10B-R2 stable customer at exact converted home anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Distinct 10B-R2 stable customer at exact converted home anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and job flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.013","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Distinct 10B-R2 stable customer at exact converted home anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Distinct 10B-R2 stable customer at exact converted home anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and job flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.014","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R2 stable customer at exact converted home anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R2 stable customer at exact converted home anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and future job flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.015","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R2 stable officer at exact converted station anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R2 stable officer at exact converted station anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed service state.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.016","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R2 stable attendant at exact converted facility anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R2 stable attendant at exact converted facility anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed service state.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.017","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","10B-R2 one stable identity at exact converted cabin anchor with review availability","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 10B-R2 one stable identity at exact converted cabin anchor with review availability; prior save evidence: npc.state schema 2 in document v12 covers streamed state and future minigame flags.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.018","npc.state","Persistent","Partial","MSC.NPC.Runtime + MSC.Save.Integration","Bus-owned seated driver transitions after terminal stall to the generated 1.2 m/s Latanen walker; the state-only identity has no separate materializing schedule","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Bus-owned seated driver transitions after terminal stall to the generated 1.2 m/s Latanen walker; the state-only identity has no separate materializing schedule; prior save evidence: traffic.state preserves stall phase, driver pose, bus/walker poses and bark cooldown.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.019","npc.state","Persistent","Planned","MSC.NPC.Runtime + MSC.Save.Integration","Nothing; no Characters/NPC module","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.020","npc.state","Persistent","Planned","MSC.NPC.Runtime + MSC.Save.Integration","Nothing; no Characters/NPC module","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.021","npc.state","Persistent","Uncovered","MSC.NPC.Runtime + MSC.Save.Integration","Nothing","Donor behavior or persistence semantics remain unknown; owning milestone must resolve evidence before defining a DTO.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NPC.022","npc.state","Persistent","Planned","MSC.NPC.Runtime + MSC.Save.Integration","10A deterministic scheduled-roaming framework fixture; full row remains owned by 10B","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","10B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
