"FeatureId","Domain","FeatureName","Required","DonorVersionEvidence","DonorSources","PlayerVisibleBehavior","Dependencies","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","UITelemetry","AudioCoverage","TestCoverage","KnownDifferences","OwnerMilestone","HumanDecision","Notes"
"P1.CAR.007","Satsuma","Сцепление, gearbox, differential и drivetrain","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Сцепление, gearbox, differential и drivetrain","Vehicle assembly; Vehicle simulation; Items; Save; Audio","M06 bounded FWD simulation prototype","PartiallyImplemented","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Temporary donor engine clips through IAudioBackend","M06 focused simulation tests","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.008","Satsuma","Подвеска, steering, wheels and tires","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS suspension Assembly/BoltCheck prerequisites; donor SimpleIKSolver.cs LateUpdate target-chain SHA-256 7A597C23F8A7E2ACEEDF73EEB564820F704977913F9D0127DBC9962514F97C90; Wishbone_FR Data 110636 Activate wheel enables contact; TireStatus WheelFR 108809 Rim off radius 0.12 m and width 0.10 m; Wheel.cs 796/839-846/759/763 ground-compression-to-model path; fresh/no-strut/airborne SATSUMA-local hub centers FL (-0.6299995,-0.35,1.1669996), FR (0.6300007,-0.35,1.167) and hub targets FL (-0.5799995,-0.425,1.174999735), FR (0.5800007,-0.425,1.174999659); exact installed rear/front runtime captures; donor Wheel.cs rolling-resistance/exact-zero branch SHA-256 85FFBF994222E04AC61A32BEBC9CDEAE9C7EFE53DF7D7BF75910EA80BC051945; user original-game sequence captures; M05/M06 evidence; licensed NWH front boundary; V1d.34 frozen GAME Assembly 107329/108451 ActivateSpindleBolts, rod Bolt 32885/34430 versus Alignment adjuster 28212/6217; see SATSUMA_FRONT_CONNECTION_FASTENERS_FIX_2026-08-31.md; V1d.35 frozen front MeshFilters and hub-OFFSET-rod hierarchy; SATSUMA_FRONT_FASTENER_MESH_AND_ROD_OFFSET_2026-08-31.md; V1d.36 rod Data/Steering/14mm FSMs and Axles camber override; SATSUMA_FRONT_ALIGNMENT_PARITY_2026-08-31.md","Подвеска, steering, wheels and tires","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Dynamic rear trailing-arm hinge, expanding linear spring and stock-shock damping use accepted donor poses without rear NWH; matching arm Installed permits independent spring/shock/drum placement, while arm IsBolted retains the construction and loose support collapses with dependents; front wishbone-only contact uses NWH with donor no-strut 0.20 m travel and 2 N/m spring rate; installed wishbone/spindle presentation follows the live ground-compressed hub; installing a strut restores the existing sprung NWH stage; rack, rods, discs and road wheels follow reviewed hub pivots; grounded loaded road wheels reach donor-observable exact zero only while the chassis is stationary; V1d.34 adds omitted lower strut bolts and corrects 12 mm rod joint to the existing moving shock-bottom frame without physics tuning; V1d.35 corrects 24 front bolt meshes while retaining 6 upper nuts and restores the missing mirrored 50 mm rod-end parent offset without NWH force changes; V1d.36 adds two independent14mm toe nuts, per-rod Alignment, collisionless free-Y hinge, rod8/0 plus strutInstalled connection, wishbone/spindle2/0 latches and four installation-only Bolted gates; base front camber remains-1.4 without strut","PartiallyImplemented","Complete temporary suspension/wheel presentation behind project-owned mounts; installed/loose transitions, compact proxies and tire-vs-bare-rim contact profiles remain replaceable","Schema-2 persists mounts, parts, fastener stages/latches and chassis pose; physics authority rematerializes from assembly state; V1d.33 changes no IDs or DTOs; V1d.34 adds eight fastener IDs with explicit 252-to-260 migration, no schema or existing-ID changes; V1d.36 optional presence-tagged Alignment groundwork only; general save repair explicitly deferred by user until all suspension is accepted","Context installation/order feedback; carried rays reject incompatible nearby sockets before priority; physical parts remain queryable before and after solver handoff","Partial/no mapping","Combined P0/generated/Assembly/native-save/carried-socket EditMode 69/69 x3; V1d.31 NWH EditMode 30/30; V1d.32 airborne-only automated gate passed but user ground-contact acceptance FAILED; V1d.33 generated Satsuma plus NWH EditMode 57/57; expanded PlayMode 23/24: all four front-contact/transition tests and floor-jack 6/6 passed; rear-spring chassis-lift test failed at 10.58 mm versus required 20 mm and focused recheck is pending; prior rear/wheel Satsuma physics 16/16 x3 plus focused loaded-rest 1/1; observed spring length 0.19751 unloaded, 0.08250 loaded and 0.19751 recovered with damped rebound; V1d.34 EditMode 104/104 (including donor poses/Stage-owner evidence, migration and save integration); standalone physics 19/20 with new front-fastener 2/2, existing rear spring lift still fails at 10.97 mm versus required >20 mm; isolated Bootstrap 1/1 passed with 260 live targets; V1d.35 build passed; EditMode111/111 and isolated physics PlayMode20/20 passed including front skin BakeMesh tests; prior rear-lift failure did not reproduce this run (31.845 mm rise), no rear fix claimed; V1d.36 build passed; EditMode143/143; isolated physics26/26 including six new steering/input PlayMode cases; isolated Bootstrap1/1; no skips. Initial new-field JsonUtility regression and two stale fixtures corrected before final pass","User accepted V1d.33 front-contact behavior and reported one-sided nose lift no longer reproduces on 2026-08-31; unresolved rear-spring chassis-lift test result; level/slope long-idle, steering/alignment feel, road BREAK, post-install support-loosening collapse, fluids/brakes tuning and streaming comparison remain incomplete; issue-3 manual acceptance pending; V1d.36 toe/steering implementation is pending manual acceptance; kinematic yaw anchor preserves accepted vertical contact; donor6s startup delay and dynamic caster are not reproduced; marker-scaled staged-bolt animation remains a separate gap; overall saves deferred","11A","Pending","Custom rear solver is accepted authority; NWH remains front-only; V1d.33 supersedes V1d.32 frozen airborne pose with live no-strut contact; kinematic mesh IK remains; unstrung normalized maxForce is 0.4 N; NWH cast/PhysX bottom stop are a documented approximation of donor ray/bump-stop behavior; deterministic removal resets to the canonical fresh no-strut pose instead of preserving the donor's stale strut-travel/root-Y quirk; donor Wheel.cs is behavioral evidence and legacy equations are not copied into another solver without unit mapping; V1d.31 rest latches do not clamp airborne, moving, driven or fast-spinning wheels; V1d.36 stays on issue3, no rear/wheel-placement fix claimed; frozen source inspection plus executed remake tests, not a new original-game runtime capture"
"P1.CAR.009","Satsuma","Тормоза и handbrake","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Тормоза и handbrake","Vehicle assembly; Vehicle simulation; Items; Save; Audio","M06 bounded FWD simulation prototype","PartiallyImplemented","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","M06 focused simulation tests","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.010","Satsuma","Температура, охлаждение и перегрев","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Температура, охлаждение и перегрев","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.011","Satsuma","Wear, breakage и failure modes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Wear, breakage и failure modes","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.012","Satsuma","Body damage, detachable parts и windshield","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Body damage, detachable parts и windshield","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.013","Satsuma","Tuning: carburetor, distributor, valves и gearing","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Tuning: carburetor, distributor, valves и gearing","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.014","Satsuma","Aftermarket/performance parts и configuration","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Aftermarket/performance parts и configuration","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.015","Satsuma","Interior controls, gauges, lights и electrical consumers","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence; exact ButtonWipers/Function and Electrics FSM audit","Interior controls, gauges, lights и electrical consumers","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity; fixed/non-removable wipers remain pending and must require ElectricsOK plus installed WiringSwitchLights before moving/clearing rain","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.016","Satsuma","Inspection legality и roadworthiness state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Inspection legality и roadworthiness state","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.017","Satsuma","Fleetari service integration и repair outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Fleetari service integration и repair outcomes","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","12A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.CAR.018","Satsuma","Complete vehicle save aggregate and world pose","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy, FSM metadata and exact legacy additive save shapes; M05/M06 evidence","Complete vehicle save aggregate and world pose","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Native aggregate stores the body plus 125 loose parts, 117 mounts, 260 fasteners, FastenerGroup latches, installed hinge rotation and project-owned New Game paint type/state; chassis-first restore places the 389 kg/29-collider body before logical/physical ownership resumes","PartiallyImplemented","TemporaryDirectImport presentation remains replaceable","Native v16 vehicle.satsuma aggregate persists current assembly, physics and paint state; older bounded schemas migrate additively and unknown shapes fail closed","Existing save/UI feedback","Dedicated assembly/body audio mapping; no generic door fallback","V1d.48 builder passed; corrected fresh generated-content rerun 29/29 passed; earlier focused save/assembly/physics gates passed, but no complete current full-game route exists","Full fluids/electrics/wear/tuning domains and manual save plus streaming-cell acceptance remain incomplete","11A","Pending","Current counts are generator evidence, not full vehicle parity; migration does not mutate donor data or established stable identities"
"P1.CAR.019","Satsuma","Temporary full Legacy vehicle presentation","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4; locked MainMenu scene","Frozen SATSUMA/CARPARTS hierarchy, exact collider components, CAR_PAINT_RUSTY/body_rust.png/CAR_MASSE materials and twelve MainMenu SetColor actions","Temporary full Legacy vehicle presentation","Vehicle assembly; Vehicle simulation; Items; Save; Audio","V1d.60 sanitized wrapper has 8 renderers, all 29 donor solid colliders, 125 loose parts with 120 active, 117 mounts, 280 fasteners, 4 hinged mounts, 52 part-owned mounts and 46 mail-order mappings; project-owned paint state targets the reviewed body renderers/material profiles; the exact donor bootlid handle/garnish remains active, staged bolts retain their source 0.5 travel scale, the fastened bootlid uses the donor -70..-69 degree open hold, install/removal swaps its chassis and moving hook copies, and mirrored door latching uses mount-relative Rigidbody rotation","PartiallyImplemented","GeneratedValidated TemporaryDirectImport wrapper remains removable by replacement key; donor scripts/FSMs/controllers are stripped","Presentation identity follows stable part/save state; project-owned paint payload restores selected type/state while legacy-absent payload retains authored defaults","Contextual feedback, owner-surface handoff, exact-pose installation, physical wrench, articulated jack and mouse-held physical panel presentation","Dedicated stable assembly/fastener/body-impact events through private override","Builder 11A-V1d.60 passed; generated-content EditMode 39/39 and focused hinged-panel PlayMode 4/4 passed","Startup variants, fluids, wiring, tuning, wear, damage, full drive authority and manual visual/load comparison remain pending","11A","Pending","No donor MonoBehaviour, FSM or controller ships in runtime; generated presentation is private Phase 1 content and not ProductionReady"
"P1.CAR.020","Satsuma","Donor-calibrated driving behavior and comparison","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA/CARPARTS hierarchy and FSM metadata; M05/M06 evidence","Donor-calibrated driving behavior and comparison","Vehicle assembly; Vehicle simulation; Items; Save; Audio","Nothing","EvidenceCaptured","Prototype visuals cover only bounded subset","None","Prototype diagnostics only; accepted 08A HUD must bind real data later","Partial/no mapping","None","Current prototypes are not complete donor vehicle parity","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.001","Vehicles","Satsuma project vehicle — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen SATSUMA hierarchy; VEHICLE_ROSTER.csv","Satsuma project vehicle — complete role and state","World; Vehicle runtime; Items; Save; Audio","Bounded M05/M06 prototype","PartiallyImplemented","Prototype presentation only","None","None","Temporary engine audio partial","M05/M06 bounded tests","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.002","Vehicles","Hayosiko van — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HAYOSIKO hierarchy; VEHICLE_ROSTER.csv","Hayosiko van — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.003","Vehicles","Gifu sewage truck — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen GIFU hierarchy; VEHICLE_ROSTER.csv","Gifu sewage truck — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.004","Vehicles","Kekmet tractor — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen KEKMET hierarchy; VEHICLE_ROSTER.csv","Kekmet tractor — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.005","Vehicles","Ruscko car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RUSCKO hierarchy; VEHICLE_ROSTER.csv","Ruscko car — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.006","Vehicles","Ferndale muscle car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen FERNDALE hierarchy; VEHICLE_ROSTER.csv","Ferndale muscle car — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.007","Vehicles","Jonnez ES moped — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen JONNEZ hierarchy; VEHICLE_ROSTER.csv","Jonnez ES moped — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.008","Vehicles","Motor boat — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen BOAT hierarchy; VEHICLE_ROSTER.csv","Motor boat — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.009","Vehicles","Combine harvester — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen COMBINE hierarchy; VEHICLE_ROSTER.csv","Combine harvester — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.010","Vehicles","Flatbed trailer — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen FLATBED hierarchy; VEHICLE_ROSTER.csv","Flatbed trailer — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.011","Vehicles","Public bus — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen TRAFFIC/Bus hierarchy; VEHICLE_ROSTER.csv","Public bus — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.012","Vehicles","Train — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen TRAIN hierarchy; VEHICLE_ROSTER.csv","Train — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","11B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.013","Vehicles","Police patrol car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen COPS hierarchy; VEHICLE_ROSTER.csv","Police patrol car — complete role and state","World; Vehicle runtime; Items; Save; Audio","Nothing","EvidenceCaptured","Frozen vehicle presentation external; not runtime-bound","None","None","None","None","Complete role, state, damage, schedule and presentation not implemented","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.VEHICLE.014","Vehicles","Victro traffic car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Locked VehiclesHighway group; three exact Victro instances; VEHICLE_ROSTER.csv","Three persistent Victro actors traverse the donor Highway route and become physical near the player","World; Traffic runtime; Vehicle/NWH; Save; Audio","Three stable logical actors with bounded NWH physical wrappers and exact donor multiplicity","PartiallyImplemented","Replaceable TemporaryDirectImport Victro wrapper","traffic.state schema 1 additive ambient array","None","Temporary spatial Petteri fallback profile; per-model Wwise pending","Traffic 5/5; Save 28/28; NPC PlayMode 10/10","Damage/final audio and manual long-drive comparison pending","11B","Pending","No donor controller/FSM/runtime hierarchy dependency"
"P1.VEHICLE.015","Vehicles","Lamore traffic car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Locked VehiclesHighway group; two exact Lamore instances; VEHICLE_ROSTER.csv","Two persistent Lamore actors traverse the donor Highway route and become physical near the player","World; Traffic runtime; Vehicle/NWH; Save; Audio","Two stable logical actors with bounded NWH physical wrappers and exact donor multiplicity","PartiallyImplemented","Replaceable TemporaryDirectImport Lamore wrapper","traffic.state schema 1 additive ambient array","None","Temporary spatial Petteri fallback profile; per-model Wwise pending","Traffic 5/5; Save 28/28; NPC PlayMode 10/10","Damage/final audio and manual long-drive comparison pending","11B","Pending","No donor controller/FSM/runtime hierarchy dependency"
"P1.VEHICLE.016","Vehicles","Traffic truck — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Locked VehiclesHighway Truck instance; VEHICLE_ROSTER.csv","Persistent truck traverses the donor Highway route and becomes physical near the player","World; Traffic runtime; Vehicle/NWH; Save; Audio","Stable logical actor with donor wheel hierarchy and bounded NWH physical wrapper","PartiallyImplemented","Replaceable TemporaryDirectImport Truck wrapper","traffic.state schema 1 additive ambient array","None","Temporary spatial Petteri fallback profile; truck Wwise pending","Traffic 5/5; Save 28/28; NPC PlayMode 10/10","Damage/final audio and manual handling comparison pending","11B","Pending","No donor controller/FSM/runtime hierarchy dependency"
"P1.VEHICLE.017","Vehicles","Polsa traffic car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Locked VehiclesHighway Polsa instance; VEHICLE_ROSTER.csv","Persistent Polsa actor traverses the donor Highway route and becomes physical near the player","World; Traffic runtime; Vehicle/NWH; Save; Audio","Stable logical actor with bounded NWH physical wrapper","PartiallyImplemented","Replaceable TemporaryDirectImport Polsa wrapper","traffic.state schema 1 additive ambient array","None","Temporary spatial Petteri fallback profile; per-model Wwise pending","Traffic 5/5; Save 28/28; NPC PlayMode 10/10","Damage/final audio and manual long-drive comparison pending","11B","Pending","No donor controller/FSM/runtime hierarchy dependency"
"P1.VEHICLE.018","Vehicles","Fittan traffic car — complete role and state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Locked VehiclesHighway Fittan instance; VEHICLE_ROSTER.csv","Persistent Fittan actor traverses the donor Highway route and becomes physical near the player","World; Traffic runtime; Vehicle/NWH; Save; Audio","Stable logical actor with bounded NWH physical wrapper; TownLoop and GasPump excursions use separate nearest directed joins and return progress","PartiallyImplemented","Replaceable TemporaryDirectImport Fittan wrapper","traffic.state schema 1 additive ambient array","None","Temporary spatial Petteri fallback profile; per-model Wwise pending","Traffic EditMode 48/48; long Traffic PlayMode 1/1 in 158.56 s","Damage/final audio and manual populated-world excursion comparison pending","11B","Pending","Entry/return join gaps are 0.262/0.419 m and 1.419/1.603 m; no donor controller/FSM/runtime hierarchy dependency"
