"RosterId","FeatureId","DisplayRole","Group","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"NPC-103","P1.NPC.103","KYLAJANI passenger role","StoryTraffic","No","Frozen04A1 passenger role plus user confirmation that the passenger is Suski P1.NPC.006","Context role only; must not create a second persistent character","BehavioralReference;Rejected","Merged into P1.NPC.006 and Jani's passenger presentation root","Rejected","BetterMSC Suski presentation is owned by P1.NPC.006 inside the Jani wrapper","Covered by P1.NPC.006 in save document v13","10B","NPC EditMode validates one Suski identity across passenger and store contexts","Rejected as a duplicate identity, not as absent donor content"
"NPC-104","P1.NPC.104","Store drunk 01","Ambient","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-105","P1.NPC.105","Store drunk 02","Ambient","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-106","P1.NPC.106","House-party drunk 01","Event","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-107","P1.NPC.107","House-party drunk 02","Event","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-108","P1.NPC.108","Dancehall dancer couple 01","Event","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-109","P1.NPC.109","Dancehall dancer couple 02","Event","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-110","P1.NPC.110","Dancehall solo dancer","Event","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-111","P1.NPC.111","Dancehall additional fighter","Event","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-112","P1.NPC.112","Police CopHome2","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-113","P1.NPC.113","Police CopHome3","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-114","P1.NPC.114","Police CopHome4","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-115","P1.NPC.115","Police CopTeimo1","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-116","P1.NPC.116","Police CopTeimo2","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-117","P1.NPC.117","Police CopTeimo3","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-118","P1.NPC.118","Police CopRadar1","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-119","P1.NPC.119","Police CopRadar2","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-120","P1.NPC.120","Police CopAlc1","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-121","P1.NPC.121","Police CopAlc2","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-122","P1.NPC.122","Rally Saturday official","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-123","P1.NPC.123","Rally Sunday official","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-124","P1.NPC.124","Rally finish official","AuthorityInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
"NPC-125","P1.NPC.125","Drag starter","EventInstance","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
