"RosterId","FeatureId","Definition","Category","ParentFeatureId","Required","DonorEvidence","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"ITEMDEF-044","P1.ITEM.144","Kilju lid","ContainerPart","P1.ITEM.010","Yes","WOP:35972 KILJU_LID","Reimplemented","Canonical lid identity and presentation are retained while the bucket hinge adopts the presentation for user-requested open/close behavior.","PartiallyImplemented","items.instances.native.v1 and world.entities keep the independent lid record; bucket isOpen drives adopted presentation","09B","Sanitized presentation validator and independent lid tests passed; manual hinge/collision/audio acceptance pending","Parent P1.ITEM.010; project-owned DefinitionId/StableEntityId. Canonical stable entity 216a0dc4d7da58e5ae2fe6d1784ff54c is not replaced. Hinge/travel are explicitly Reimplemented because donor lid is a separate loose item."
"ITEMDEF-045","P1.ITEM.145","Sauna bucket","Container","P1.ITEM.006","Yes","WOP:11173 SAUNA_BUCKET","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.006; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-046","P1.ITEM.146","Sauna dipper","Container","P1.ITEM.006","Yes","WOP:9387 SAUNA_DIPPER","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.006; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-047","P1.ITEM.147","Wood carrier","CargoContainer","P1.ITEM.013","Yes","WOP:7095 WOOD_CARRIER","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.013; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-048","P1.ITEM.148","Garbage barrel","Container","P1.ITEM.018","Yes","WOP:7186 GARBAGE_BARREL","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.018; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-049","P1.ITEM.149","Portable grill","Device","P1.ITEM.014","Yes","WOP:8021 PORTABLE_GRILL","Reimplemented","Data-driven charcoal receiver, ignition, visible flame, ember heat and independent cover feed the generic cooking simulation without grill-name branching.","PartiallyImplemented","items.instances.native.v1 persists fuel/enabled/open/wet/burn-time state and world.entities persists pose; focused state round-trip passed","09B","Catalog, physical pour, ignition, flame/ember, cover, fire presentation and generic cooking tests pass automated validation","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Donor values transferred: capacity 100, ignite >10, 120 s at 0.1/s, embers 0.04/s, off <=5. Exact cover pivot retained; global rain wet binding, dedicated pour Wwise and rendered acceptance remain pending."
"ITEMDEF-050","P1.ITEM.150","Coffee pan","Container","P1.ITEM.007","Yes","WOP:12113 COFFEE_PAN","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-051","P1.ITEM.151","Coffee cup","Container","P1.ITEM.007","Yes","WOP:23943 COFFEE_CUP","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-052","P1.ITEM.152","Fish trap","ToolContainer","P1.ITEM.009","Yes","WOP:20483 FISH_TRAP","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.009; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-053","P1.ITEM.153","Flashlight","PortableDevice","P1.ITEM.014","Yes","WOP:33221 FLASHLIGHT","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-054","P1.ITEM.154","Lantern","PortableDevice","P1.ITEM.014","Yes","WOP:5326 LANTERN","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-055","P1.ITEM.155","Helmet","WearableSafety","P1.ITEM.012","Yes","WOP:31962 HELMET","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.012; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-056","P1.ITEM.156","Radar detector","PortableDevice","P1.ITEM.014","Yes","WOP:10329 RADAR_DETECTOR","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-057","P1.ITEM.157","Portable radio","PortableDevice","P1.ITEM.014","Yes","WOP:34307 PORTABLE_RADIO","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-058","P1.ITEM.158","Camera","PortableDevice","P1.ITEM.014","Yes","WOP:11211 CAMERA","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-059","P1.ITEM.159","Floppy disk","PhysicalMedia","P1.ITEM.015","Yes","WOP:23686 FLOPPY_DISK","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-060","P1.ITEM.160","CD set","PhysicalMedia","P1.ITEM.015","Yes","WOP:20753 CD_SET","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-061","P1.ITEM.161","Notepad","Readable","P1.ITEM.015","Yes","WOP:35441 NOTEPAD","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-062","P1.ITEM.162","Parts magazine","Readable","P1.ITEM.015","Yes","WOP:19692 PARTS_MAGAZINE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-063","P1.ITEM.163","TV remote","PortableDevice","P1.ITEM.014","Yes","WOP:12839 TV_REMOTE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.014; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-064","P1.ITEM.164","Audio CD 01","PhysicalMedia","P1.ITEM.015","Yes","WOP AUDIO_CD.01","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-065","P1.ITEM.165","Audio CD 02","PhysicalMedia","P1.ITEM.015","Yes","WOP AUDIO_CD.02","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-066","P1.ITEM.166","Audio CD 03","PhysicalMedia","P1.ITEM.015","Yes","WOP AUDIO_CD.03","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Physical media state exists; case/player membership and playback are downstream."
"ITEMDEF-067","P1.ITEM.167","Audio CD case 01","PhysicalMediaContainer","P1.ITEM.015","Yes","WOP CD case 01","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Open container state exists; CD membership and player flow are incomplete."
"ITEMDEF-068","P1.ITEM.168","Audio CD case 02","PhysicalMediaContainer","P1.ITEM.015","Yes","WOP CD case 02","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Open container state exists; CD membership and player flow are incomplete."
"ITEMDEF-069","P1.ITEM.169","Audio CD case 03","PhysicalMediaContainer","P1.ITEM.015","Yes","WOP CD case 03","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.015; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Open container state exists; CD membership and player flow are incomplete."
"ITEMDEF-070","P1.ITEM.170","Sofa","MovableCargo","P1.ITEM.016","Yes","WOP:15559 SOFA","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Physical cargo state exists; sofa sleep behavior belongs to 09C and remains absent."
"ITEMDEF-071","P1.ITEM.171","Basketball","SportsItem","P1.ITEM.016","Yes","WOP:16522 BASKETBALL","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-072","P1.ITEM.172","Football","SportsItem","P1.ITEM.016","Yes","WOP:10009 FOOTBALL","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-073","P1.ITEM.173","Firewood definition","Cargo","P1.ITEM.013","Yes","Exported prefab FIREWOOD","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.013; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-074","P1.ITEM.174","Shopping bag","Container","P1.ITEM.018","Yes","Exported prefab SHOPPING_BAG","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.018; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Open container state exists; shopping contents/acquisition flow is incomplete."
"ITEMDEF-075","P1.ITEM.175","Berry box","Container","P1.ITEM.018","Yes","Exported prefab BERRY_BOX","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.018; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Open container state exists; berry contents/acquisition flow is incomplete."
"ITEMDEF-076","P1.ITEM.176","Fireworks bag","ConsumableContainer","P1.ITEM.018","Yes","WOP:6832 FIREWORKS_BAG","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.018; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Open container state exists; rocket membership and firework use flow are incomplete."
"ITEMDEF-077","P1.ITEM.177","Suitcase","StoryCargo","P1.ITEM.016","Yes","WOP:9480 SUITCASE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-078","P1.ITEM.178","Rocket/firework object","Consumable","P1.ITEM.018","Yes","Exported prefab ROCKET","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.018; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Consumable state exists; ignition/flight/explosion behavior and presentation are missing."
"ITEMDEF-079","P1.ITEM.179","Xmas lights","Decoration","P1.ITEM.016","Yes","Exported prefab XMAS_LIGHTS","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Physical state exists; decoration installation/power behavior and presentation are missing."
"ITEMDEF-080","P1.ITEM.180","Trophy candidates","Candidate","P1.ITEM.016","No","Exported trophy prefabs; reachability unproven","Reimplemented","09B optional catalog definition only; donor reachability and required-scope status are unproven.","Blocked","Uncovered: generic schema could persist a spawned instance, but no authoritative reachable instance exists","09B","Blocked pending locked-donor reachability evidence; no Verified claim.","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Donor reachability is unproven; keep outside required scope unless evidence changes."
"ITEMDEF-081","P1.ITEM.181","Eyewear candidates","Candidate","P1.ITEM.016","No","Exported eyewear prefabs; reachability unproven","Reimplemented","09B optional catalog definition only; donor reachability and required-scope status are unproven.","Blocked","Uncovered: generic schema could persist a spawned instance, but no authoritative reachable instance exists","09B","Blocked pending locked-donor reachability evidence; no Verified claim.","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Donor reachability is unproven; keep outside required scope unless evidence changes."
"ITEMDEF-082","P1.ITEM.182","Hat candidates","Candidate","P1.ITEM.016","No","Exported hat prefabs; reachability unproven","Reimplemented","09B optional catalog definition only; donor reachability and required-scope status are unproven.","Blocked","Uncovered: generic schema could persist a spawned instance, but no authoritative reachable instance exists","09B","Blocked pending locked-donor reachability evidence; no Verified claim.","Parent P1.ITEM.016; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Donor reachability is unproven; keep outside required scope unless evidence changes."
